GEO_ID,NAME,ESTAB
51001,"Accomack County, Virginia",5
51003,"Albemarle County, Virginia",24
51005,"Alleghany County, Virginia",1000
51007,"Amelia County, Virginia",8
51009,"Amherst County, Virginia",11
51011,"Appomattox County, Virginia",12
51013,"Arlington County, Virginia",1000
51015,"Augusta County, Virginia",8
51017,"Bath County, Virginia",3
51019,"Bedford County, Virginia",13
51021,"Bland County, Virginia",1000
51023,"Botetourt County, Virginia",1000
51025,"Brunswick County, Virginia",21
51027,"Buchanan County, Virginia",4
51029,"Buckingham County, Virginia",17
51031,"Campbell County, Virginia",10
51033,"Caroline County, Virginia",3
51035,"Carroll County, Virginia",1000
51036,"Charles City County, Virginia",5
51037,"Charlotte County, Virginia",17
51041,"Chesterfield County, Virginia",7
51043,"Clarke County, Virginia",6
51045,"Craig County, Virginia",3
51047,"Culpeper County, Virginia",7
51049,"Cumberland County, Virginia",3
51051,"Dickenson County, Virginia",5
51053,"Dinwiddie County, Virginia",6
51057,"Essex County, Virginia",3
51059,"Fairfax County, Virginia",6
51061,"Fauquier County, Virginia",20
51063,"Floyd County, Virginia",6
51065,"Fluvanna County, Virginia",5
51067,"Franklin County, Virginia",18
51069,"Frederick County, Virginia",1000
51071,"Giles County, Virginia",1000
51073,"Gloucester County, Virginia",5
51075,"Goochland County, Virginia",6
51077,"Grayson County, Virginia",1000
51079,"Greene County, Virgina",1000
51081,"Greensville County, Virginia",1000
51083,"Halifax County, Virginia",8
51085,"Hanover County, Virginia",8
51087,"Henrico County, Virginia",1000
51089,"Henry County, Virginia",1000
51091,"Highland County, Virginia",5
51093,"Isle of Wight County, Virginia",6
51095,"James City County, Virginia",1000
51097,"King and Queen County, Virginia",11
51099,"King George County, Virginia",5
51101,"King William County, Virginia",7
51103,"Lancaster County, Virginia",6
51105,"Lee County, Virginia",7
51107,"Loudoun County, Virginia",25
51109,"Louisa County, Virginia",8
51111,"Lunenburg County, Virginia",5
51113,"Madison County, Virginia",8
51115,"Mathews County, Virgina",1000
51117,"Mecklenburg County, Virginia",11
51119,"Middlesex County, Virginia",4
51121,"Montgomery County, Virginia",7
51125,"Nelson County, Virginia",10
51127,"New Kent County, Virginia",3
51131,"Northampton County, Virginia",8
51133,"Northumberland County, Virginia",6
51135,"Nottoway County, Virginia",6
51137,"Orange County, Virginia",15
51139,"Page County, Virginia",3
51141,"Patrick County, Virginia",9
51143,"Pittsylvania County, Virginia",16
51145,"Powhatan County, Virginia",1000
51147,"Prince Edward County, Virginia",7
51149,"Prince George County, Virginia",1000
51153,"Prince William County, Virginia",4
51155,"Pulaski County, Virginia",3
51157,"Rappahannock County, Virginia",5
51159,"Richmond County, Virginia",1000
51161,"Roanoke County, Virginia",1000
51163,"Rockbridge County, Virginia",7
51165,"Rockingham County, Virginia",4
51167,"Russell County, Virginia",4
51169,"Scott County, Virginia",8
51171,"Shenandoah County, Virginia",4
51173,"Smyth County, Virginia",1000
51175,"Southampton County, Virginia",14
51177,"Spotsylvania County, Virginia",4
51179,"Stafford County, Virginia",3
51181,"Surry County, Virginia",1000
51183,"Sussex County, Virginia",1000
51185,"Tazewell County, Virginia",1000
51187,"Warren County, Virginia",1000
51191,"Washington County, Virginia",5
51193,"Westmoreland County, Virginia",1000
51195,"Wise County, Virginia",3
51197,"Wythe County, Virginia",1000
51199,"York County, Virginia",7
51510,"Alexandria city, Virginia",1000
51520,"Bristol city, Virginia",1000
51530,"Buena Vista city, Virginia",1000
51540,"Charlottesville city, Virginia",1000
51550,"Chesapeake city, Virginia",4
51570,"Colonial Heights city, Virginia",1000
51580,"Covington city, Virginia",1000
51590,"Danville city, Virginia",1000
51595,"Emporia city, Virginia",1000
51600,"Fairfax city, Virginia",1000
51610,"Falls Church city, Virginia",1000
51620,"Franklin city, Virginia",1000
51630,"Fredericksburg city, Virginia",1000
51640,"Galax city, Virginia",1000
51650,"Hampton city, Virginia",1000
51660,"Harrisonburg city, Virginia",1000
51670,"Hopewell city, Virginia",1000
51678,"Lexington city, Virginia",1000
51680,"Lynchburg city, Virginia",1000
51683,"Manassas city, Virginia",1000
51685,"Manassas Park city, Virginia",1000
51690,"Martinsville city, Virginia",1000
51700,"Newport News city, Virginia",6
51710,"Norfolk city, Virginia",1000
51720,"Norton city, Virginia",1000
51730,"Petersburg city, Virginia",1000
51735,"Poquoson city, Virginia",1000
51740,"Portsmouth city, Virginia",1000
51750,"Radford city, Virginia",1000
51760,"Richmond city, Virginia",1000
51770,"Roanoke city, Virginia",1000
51775,"Salem city, Virginia",1000
51790,"Staunton city, Virginia",1000
51800,"Suffolk city, Virginia",3
51810,"Virginia Beach city, Virginia",10
51820,"Waynesboro city, Virginia",1000
51830,"Williamsburg city, Virginia",1000
51840,"Winchester city, Virginia",1000