GEO_ID,NAME,EMPSZES,EMPSZES_LABEL,ESTAB
51001,"Accomack County, Virginia",210,Establishments with less than 5 employees,3
51003,"Albemarle County, Virginia",210,Establishments with less than 5 employees,21
51007,"Amelia County, Virginia",210,Establishments with less than 5 employees,5
51009,"Amherst County, Virginia",210,Establishments with less than 5 employees,8
51011,"Appomattox County, Virginia",210,Establishments with less than 5 employees,7
51015,"Augusta County, Virginia",210,Establishments with less than 5 employees,7
51017,"Bath County, Virginia",210,Establishments with less than 5 employees,3
51019,"Bedford County, Virginia",210,Establishments with less than 5 employees,8
51025,"Brunswick County, Virginia",210,Establishments with less than 5 employees,10
51029,"Buckingham County, Virginia",210,Establishments with less than 5 employees,9
51031,"Campbell County, Virginia",210,Establishments with less than 5 employees,6
51036,"Charles City County, Virginia",210,Establishments with less than 5 employees,3
51037,"Charlotte County, Virginia",210,Establishments with less than 5 employees,10
51041,"Chesterfield County, Virginia",210,Establishments with less than 5 employees,5
51043,"Clarke County, Virginia",210,Establishments with less than 5 employees,6
51045,"Craig County, Virginia",210,Establishments with less than 5 employees,3
51047,"Culpeper County, Virginia",210,Establishments with less than 5 employees,6
51053,"Dinwiddie County, Virginia",210,Establishments with less than 5 employees,4
51059,"Fairfax County, Virginia",210,Establishments with less than 5 employees,4
51061,"Fauquier County, Virginia",210,Establishments with less than 5 employees,15
51063,"Floyd County, Virginia",210,Establishments with less than 5 employees,5
51065,"Fluvanna County, Virginia",210,Establishments with less than 5 employees,3
51067,"Franklin County, Virginia",210,Establishments with less than 5 employees,15
51073,"Gloucester County, Virginia",210,Establishments with less than 5 employees,5
51075,"Goochland County, Virginia",210,Establishments with less than 5 employees,4
51083,"Halifax County, Virginia",210,Establishments with less than 5 employees,4
51085,"Hanover County, Virginia",210,Establishments with less than 5 employees,7
51091,"Highland County, Virginia",210,Establishments with less than 5 employees,3
51093,"Isle of Wight County, Virginia",210,Establishments with less than 5 employees,4
51097,"King and Queen County, Virginia",210,Establishments with less than 5 employees,5
51103,"Lancaster County, Virginia",210,Establishments with less than 5 employees,4
51105,"Lee County, Virginia",210,Establishments with less than 5 employees,4
51107,"Loudoun County, Virginia",210,Establishments with less than 5 employees,21
51109,"Louisa County, Virginia",210,Establishments with less than 5 employees,7
51113,"Madison County, Virginia",210,Establishments with less than 5 employees,6
51117,"Mecklenburg County, Virginia",210,Establishments with less than 5 employees,3
51121,"Montgomery County, Virginia",210,Establishments with less than 5 employees,7
51125,"Nelson County, Virginia",210,Establishments with less than 5 employees,7
51131,"Northampton County, Virginia",210,Establishments with less than 5 employees,5
51133,"Northumberland County, Virginia",210,Establishments with less than 5 employees,4
51135,"Nottoway County, Virginia",210,Establishments with less than 5 employees,4
51137,"Orange County, Virginia",210,Establishments with less than 5 employees,13
51139,"Page County, Virginia",210,Establishments with less than 5 employees,3
51141,"Patrick County, Virginia",210,Establishments with less than 5 employees,7
51143,"Pittsylvania County, Virginia",210,Establishments with less than 5 employees,12
51147,"Prince Edward County, Virginia",210,Establishments with less than 5 employees,3
51157,"Rappahannock County, Virginia",210,Establishments with less than 5 employees,5
51163,"Rockbridge County, Virginia",210,Establishments with less than 5 employees,6
51165,"Rockingham County, Virginia",210,Establishments with less than 5 employees,4
51167,"Russell County, Virginia",210,Establishments with less than 5 employees,4
51169,"Scott County, Virginia",210,Establishments with less than 5 employees,4
51171,"Shenandoah County, Virginia",210,Establishments with less than 5 employees,3
51175,"Southampton County, Virginia",210,Establishments with less than 5 employees,8
51179,"Stafford County, Virginia",210,Establishments with less than 5 employees,3
51191,"Washington County, Virginia",210,Establishments with less than 5 employees,4
51199,"York County, Virginia",210,Establishments with less than 5 employees,5
51550,"Chesapeake city, Virginia",210,Establishments with less than 5 employees,4
51700,"Newport News city, Virginia",210,Establishments with less than 5 employees,6
51810,"Virginia Beach city, Virginia",210,Establishments with less than 5 employees,9